,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
24,2.062154452006022,0.026063052644934893,0.07081079483032227,0.011015895042323249,mse,7,auto,500,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 'auto', 'n_estimators': 500}",0.48067671966324066,0.544439021954102,0.5431516846848329,0.5227558087673918,0.029759050322969355,39
49,1.6572360197703044,0.05824706454451811,0.09441463152567546,0.014777987923276635,mse,9,7,500,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 7, 'n_estimators': 500}",0.4675848007716127,0.5538841168120396,0.5433599195468355,0.5216096123768292,0.0384421633431626,40
23,1.6515844662984211,0.01340511720312361,0.05684812863667806,0.008808309477273972,mse,7,auto,400,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 'auto', 'n_estimators': 400}",0.4801996173497116,0.5417258326588217,0.5413374659206829,0.5210876386430721,0.028912631854670325,41
46,0.6818428039550781,0.05172195451105422,0.03956135114034017,0.0016949833087219934,mse,9,7,200,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 7, 'n_estimators': 200}",0.4721907105866566,0.5460134537480206,0.5444006809324152,0.5208682817556974,0.0344265373438037,42
22,1.328780174255371,0.06510634083822622,0.03989346822102865,0.004953105522512821,mse,7,auto,300,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 'auto', 'n_estimators': 300}",0.4814568303137228,0.5377009021804147,0.5414714530583127,0.5202097285174834,0.02744563842548852,43
21,0.9637564023335775,0.007824589952455562,0.03390963872273763,0.007098444157485012,mse,7,auto,200,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 'auto', 'n_estimators': 200}",0.4806739419622291,0.5366812173795681,0.5417402161946567,0.5196984585121514,0.02767168271258701,44
45,0.35937198003133136,0.024187882491139536,0.018949508666992188,0.0008140042095578565,mse,9,7,100,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 7, 'n_estimators': 100}",0.4693259424168279,0.5389614390783375,0.5446045378934714,0.5176306397962123,0.034234183528015466,45
50,0.418215274810791,0.017261355235439552,0.023604154586791992,0.010116190982606754,mse,9,10,100,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 10, 'n_estimators': 100}",0.4765231246400088,0.5230977037752897,0.5301266617780136,0.5099158300644374,0.023785936241443328,46
54,2.5309016704559326,0.09350223643345268,0.09773786862691243,0.013103802431555435,mse,9,10,500,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 10, 'n_estimators': 500}",0.4606648744088524,0.5241584214167441,0.5306547343865795,0.5051593434040587,0.031573922245259525,47
53,1.879642645517985,0.11107732851844945,0.11403036117553711,0.01875237338604251,mse,9,10,400,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 10, 'n_estimators': 400}",0.4602851630056509,0.522137267781058,0.5289237725418516,0.5037820677761868,0.030881490736684235,48
52,1.1835026741027832,0.01875332421530075,0.05452132225036621,0.011525755180236075,mse,9,10,300,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 10, 'n_estimators': 300}",0.4638190205450413,0.5171293934097633,0.5280734494121209,0.5030072877889752,0.02806817067584049,49
51,0.7868959108988444,0.01131228908288128,0.03523937861124674,0.003083072219022321,mse,9,10,200,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 10, 'n_estimators': 200}",0.46556069146114465,0.513919943259616,0.5288744480570207,0.5027850275925938,0.027020334364501995,50
59,2.5299036502838135,0.1395330787526799,0.08610304196675618,0.010501810404691598,mse,9,13,500,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 13, 'n_estimators': 500}",0.44855107590611887,0.49781409927861886,0.5180080842504772,0.48812441981173826,0.029171749098116942,51
58,2.4052375157674155,0.0278584117964761,0.09641091028849284,0.0259710968791228,mse,9,13,400,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 13, 'n_estimators': 400}",0.450409206590315,0.494088391507444,0.514937072499012,0.48647822353225706,0.026887386908370444,52
55,0.5904214382171631,0.034578455229707206,0.02692858378092448,0.00939188237100798,mse,9,13,100,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 13, 'n_estimators': 100}",0.4419719117357317,0.4920575240914339,0.5230721649458958,0.48570053359102044,0.033412784617617486,53
57,1.7400155862172444,0.05098636446894484,0.07147590319315593,0.0085537377555165,mse,9,13,300,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 13, 'n_estimators': 300}",0.4508632508107181,0.49079301523816077,0.5149521741084084,0.4855361467190958,0.026426924683415353,54
56,1.0538488229115803,0.011526046299911972,0.03557149569193522,0.0020491507734174846,mse,9,13,200,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 13, 'n_estimators': 200}",0.4495990230248582,0.48395396772861654,0.5192335740626741,0.4842621882720496,0.02842902184373207,55
44,2.9630801677703857,0.013454007774189466,0.09574405352274577,0.01340556065114756,mse,9,auto,500,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 'auto', 'n_estimators': 500}",0.45519757292009044,0.4650779876094595,0.5124541983881848,0.4775765863059116,0.024989884847402083,56
40,0.5219376881917318,0.006925907522722562,0.021609067916870117,0.007298544423371235,mse,9,auto,100,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 'auto', 'n_estimators': 100}",0.4559664018495275,0.45617924735217885,0.5144944957169971,0.47554671497290113,0.02754037695783688,57
43,2.3793060779571533,0.0615731040463292,0.08776561419169109,0.016286407757347233,mse,9,auto,400,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 'auto', 'n_estimators': 400}",0.45459230382855387,0.45280031735623394,0.5108389044266257,0.4727438418704712,0.026947209468975202,58
42,1.646265188852946,0.07504169125872834,0.05452092488606771,0.0012440914228474475,mse,9,auto,300,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 'auto', 'n_estimators': 300}",0.4548161014353457,0.45164582055870517,0.5091673259244355,0.4718764159728288,0.02640039954209441,59
41,1.0498594443003337,0.0040168270514445385,0.036569436391194664,0.00600296515144565,mse,9,auto,200,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 'auto', 'n_estimators': 200}",0.4528096492693785,0.4463877878308826,0.5132958420832333,0.4708310930611648,0.03014134766080487,60
